Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,23
100,2,8,0,128,23
100,6,1,0,1024,11
100,5,8,0,128,43
100,7,2,0,512,11
100,8,4,0,256,11
100,9,8,0,128,11
100,10,16,0,64,11
100,11,32,0,32,10
100,12,32,0,32,10
100,13,32,0,32,10
100,14,32,0,32,10
100,15,32,0,32,10
930,1,8,0,128,23
930,2,8,0,128,23
930,6,1,0,1024,94
930,5,8,0,128,126
930,7,2,0,512,94
930,8,4,0,256,94
930,9,8,0,128,94
930,10,16,0,64,94
930,11,32,0,32,93
930,12,32,0,32,93
930,13,32,0,32,93
930,14,32,0,32,93
930,15,32,0,32,93
1760,1,8,0,128,23
1760,2,8,0,128,23
1760,6,1,0,1024,177
1760,5,8,0,128,209
1760,7,2,0,512,177
1760,8,4,0,256,177
1760,9,8,0,128,177
1760,10,16,0,64,177
1760,11,32,0,32,176
1760,12,32,0,32,176
1760,13,32,0,32,176
1760,14,32,0,32,176
1760,15,32,0,32,176
2620,1,8,0,128,23
2620,2,8,0,128,23
2620,6,1,0,1024,263
2620,5,8,0,128,295
2620,7,2,0,512,263
2620,8,4,0,256,263
2620,9,8,0,128,263
2620,10,16,0,64,263
2620,11,32,0,32,262
2620,12,32,0,32,262
2620,13,32,0,32,262
2620,14,32,0,32,262
2620,15,32,0,32,262
3450,1,8,0,128,23
3450,2,8,0,128,23
3450,6,1,0,1024,346
3450,5,8,0,128,378
3450,7,2,0,512,346
3450,8,4,0,256,346
3450,9,8,0,128,346
3450,10,16,0,64,346
3450,11,32,0,32,345
3450,12,32,0,32,345
3450,13,32,0,32,345
3450,14,32,0,32,345
3450,15,32,0,32,345
4340,1,8,0,128,23
4340,2,8,0,128,23
4340,6,1,0,1024,435
4340,5,8,0,128,467
4340,7,2,0,512,435
4340,8,4,0,256,435
4340,9,8,0,128,435
4340,10,16,0,64,435
4340,11,32,0,32,434
4340,12,32,0,32,434
4340,13,32,0,32,434
4340,14,32,0,32,434
4340,15,32,0,32,434
5170,1,8,0,128,23
5170,2,8,0,128,23
5170,6,1,0,1024,518
5170,5,8,0,128,550
5170,7,2,0,512,518
5170,8,4,0,256,518
5170,9,8,0,128,518
5170,10,16,0,64,518
5170,11,32,0,32,517
5170,12,32,0,32,517
5170,13,32,0,32,517
5170,14,32,0,32,517
5170,15,32,0,32,517
6050,1,8,0,128,23
6050,2,8,0,128,23
6050,6,1,0,1024,606
6050,5,8,0,128,638
6050,7,2,0,512,606
6050,8,4,0,256,606
6050,9,8,0,128,606
6050,10,16,0,64,606
6050,11,32,0,32,605
6050,12,32,0,32,605
6050,13,32,0,32,605
6050,14,32,0,32,605
6050,15,32,0,32,605
6880,1,8,0,128,23
6880,2,8,0,128,23
6880,6,1,0,1024,689
6880,5,8,0,128,721
6880,7,2,0,512,689
6880,8,4,0,256,689
6880,9,8,0,128,689
6880,10,16,0,64,689
6880,11,32,0,32,688
6880,12,32,0,32,688
6880,13,32,0,32,688
6880,14,32,0,32,688
6880,15,32,0,32,688
7760,1,8,0,128,23
7760,2,8,0,128,23
7760,6,1,0,1024,777
7760,5,8,0,128,809
7760,7,2,0,512,777
7760,8,4,0,256,777
7760,9,8,0,128,777
7760,10,16,0,64,777
7760,11,32,0,32,776
7760,12,32,0,32,776
7760,13,32,0,32,776
7760,14,32,0,32,776
7760,15,32,0,32,776
8590,1,8,0,128,23
8590,2,8,0,128,23
8590,6,1,0,1024,860
8590,5,8,0,128,892
8590,7,2,0,512,860
8590,8,4,0,256,860
8590,9,8,0,128,860
8590,10,16,0,64,860
8590,11,32,0,32,859
8590,12,32,0,32,859
8590,13,32,0,32,859
8590,14,32,0,32,859
8590,15,32,0,32,859
9470,1,8,0,128,23
9470,2,8,0,128,23
9470,6,1,0,1024,948
9470,5,8,0,128,980
9470,7,2,0,512,948
9470,8,4,0,256,948
9470,9,8,0,128,948
9470,10,16,0,64,948
9470,11,32,0,32,947
9470,12,32,0,32,947
9470,13,32,0,32,947
9470,14,32,0,32,947
9470,15,32,0,32,947
10300,1,8,0,128,23
10300,2,8,0,128,23
10300,6,1,0,1024,1031
10300,5,8,0,128,1063
10300,7,2,0,512,1031
10300,8,4,0,256,1031
10300,9,8,0,128,1031
10300,10,16,0,64,1031
10300,11,32,0,32,1030
10300,12,32,0,32,1030
10300,13,32,0,32,1030
10300,14,32,0,32,1030
10300,15,32,0,32,1030
11180,1,8,0,128,23
11180,2,8,0,128,23
11180,6,1,0,1024,1119
11180,5,8,0,128,1151
11180,7,2,0,512,1119
11180,8,4,0,256,1119
11180,9,8,0,128,1119
11180,10,16,0,64,1119
11180,11,32,0,32,1118
11180,12,32,0,32,1118
11180,13,32,0,32,1118
11180,14,32,0,32,1118
11180,15,32,0,32,1118
12010,1,8,0,128,23
12010,2,8,0,128,23
12010,6,1,0,1024,1202
12010,5,8,0,128,1234
12010,7,2,0,512,1202
12010,8,4,0,256,1202
12010,9,8,0,128,1202
12010,10,16,0,64,1202
12010,11,32,0,32,1201
12010,12,32,0,32,1201
12010,13,32,0,32,1201
12010,14,32,0,32,1201
12010,15,32,0,32,1201
12890,1,8,0,128,23
12890,2,8,0,128,23
12890,6,1,0,1024,1290
12890,5,8,0,128,1322
12890,7,2,0,512,1290
12890,8,4,0,256,1290
12890,9,8,0,128,1290
12890,10,16,0,64,1290
12890,11,32,0,32,1289
12890,12,32,0,32,1289
12890,13,32,0,32,1289
12890,14,32,0,32,1289
12890,15,32,0,32,1289
13750,1,8,0,128,23
13750,2,8,0,128,23
13750,6,1,0,1024,1376
13750,5,8,0,128,1408
13750,7,2,0,512,1376
13750,8,4,0,256,1376
13750,9,8,0,128,1376
13750,10,16,0,64,1376
13750,11,32,0,32,1375
13750,12,32,0,32,1375
13750,13,32,0,32,1375
13750,14,32,0,32,1375
13750,15,32,0,32,1375
14580,1,8,0,128,23
14580,2,8,0,128,23
14580,6,1,0,1024,1459
14580,5,8,0,128,1491
14580,7,2,0,512,1459
14580,8,4,0,256,1459
14580,9,8,0,128,1459
14580,10,16,0,64,1459
14580,11,32,0,32,1458
14580,12,32,0,32,1458
14580,13,32,0,32,1458
14580,14,32,0,32,1458
14580,15,32,0,32,1458
15460,1,8,0,128,23
15460,2,8,0,128,23
15460,6,1,0,1024,1547
15460,5,8,0,128,1579
15460,7,2,0,512,1547
15460,8,4,0,256,1547
15460,9,8,0,128,1547
15460,10,16,0,64,1547
15460,11,32,0,32,1546
15460,12,32,0,32,1546
15460,13,32,0,32,1546
15460,14,32,0,32,1546
15460,15,32,0,32,1546
16290,1,8,0,128,23
16290,2,8,0,128,23
16290,6,1,0,1024,1630
16290,5,8,0,128,1662
16290,7,2,0,512,1630
16290,8,4,0,256,1630
16290,9,8,0,128,1630
16290,10,16,0,64,1630
16290,11,32,0,32,1629
16290,12,32,0,32,1629
16290,13,32,0,32,1629
16290,14,32,0,32,1629
16290,15,32,0,32,1629
17170,1,8,0,128,23
17170,2,8,0,128,23
17170,6,1,0,1024,1718
17170,5,8,0,128,1750
17170,7,2,0,512,1718
17170,8,4,0,256,1718
17170,9,8,0,128,1718
17170,10,16,0,64,1718
17170,11,32,0,32,1717
17170,12,32,0,32,1717
17170,13,32,0,32,1717
17170,14,32,0,32,1717
17170,15,32,0,32,1717
17170,16,8,0,128,0
17170,17,8,0,128,0
17170,18,8,0,128,0
17170,19,8,0,128,0
17170,20,8,0,128,0
17170,21,8,0,128,0
19075,1,8,0,128,23
19075,2,8,0,128,23
19075,6,1,0,1024,1837
19075,5,8,0,128,1869
19075,7,2,0,512,1837
19075,8,4,0,256,1837
19075,9,8,0,128,1837
19075,10,16,0,64,1837
19075,11,32,0,32,1836
19075,12,32,0,32,1836
19075,13,32,0,32,1836
19075,14,32,0,32,1836
19075,15,32,0,32,1836
19075,16,32,0,32,119
19075,17,32,0,32,119
19075,18,8,0,128,119
19075,19,2,0,512,119
19075,20,8,0,128,119
19075,21,8,0,128,119
21043,1,8,0,128,23
21043,2,8,0,128,23
21043,6,1,0,1024,1960
21043,5,8,0,128,1992
21043,7,2,0,512,1960
21043,8,4,0,256,1960
21043,9,8,0,128,1960
21043,10,16,0,64,1960
21043,11,32,0,32,1959
21043,12,32,0,32,1959
21043,13,32,0,32,1959
21043,14,32,0,32,1959
21043,15,32,0,32,1959
21043,16,32,0,32,242
21043,17,32,0,32,242
21043,18,8,0,128,242
21043,19,2,0,512,242
21043,20,8,0,128,242
21043,21,8,0,128,242
23075,1,8,0,128,23
23075,2,8,0,128,23
23075,6,1,0,1024,2087
23075,5,8,0,128,2119
23075,7,2,0,512,2087
23075,8,4,0,256,2087
23075,9,8,0,128,2087
23075,10,16,0,64,2087
23075,11,32,0,32,2086
23075,12,32,0,32,2086
23075,13,32,0,32,2086
23075,14,32,0,32,2086
23075,15,32,0,32,2086
23075,16,32,0,32,369
23075,17,32,0,32,369
23075,18,8,0,128,369
23075,19,2,0,512,369
23075,20,8,0,128,369
23075,21,8,0,128,369
25075,1,8,0,128,23
25075,2,8,0,128,23
25075,6,1,0,1024,2212
25075,5,8,0,128,2244
25075,7,2,0,512,2212
25075,8,4,0,256,2212
25075,9,8,0,128,2212
25075,10,16,0,64,2212
25075,11,32,0,32,2211
25075,12,32,0,32,2211
25075,13,32,0,32,2211
25075,14,32,0,32,2211
25075,15,32,0,32,2211
25075,16,32,0,32,494
25075,17,32,0,32,494
25075,18,8,0,128,494
25075,19,2,0,512,494
25075,20,8,0,128,494
25075,21,8,0,128,494
27092,1,8,0,128,23
27092,2,8,0,128,23
27092,6,1,0,1024,2338
27092,5,8,0,128,2370
27092,7,2,0,512,2338
27092,8,4,0,256,2338
27092,9,8,0,128,2338
27092,10,16,0,64,2338
27092,11,32,0,32,2337
27092,12,32,0,32,2337
27092,13,32,0,32,2337
27092,14,32,0,32,2337
27092,15,32,0,32,2337
27092,16,32,0,32,620
27092,17,32,0,32,620
27092,18,8,0,128,620
27092,19,2,0,512,620
27092,20,8,0,128,620
27092,21,8,0,128,620
28997,1,8,0,128,23
28997,2,8,0,128,23
28997,6,1,0,1024,2457
28997,5,8,0,128,2489
28997,7,2,0,512,2457
28997,8,4,0,256,2457
28997,9,8,0,128,2457
28997,10,16,0,64,2457
28997,11,32,0,32,2456
28997,12,32,0,32,2456
28997,13,32,0,32,2456
28997,14,32,0,32,2456
28997,15,32,0,32,2456
28997,16,32,0,32,739
