Time,PID,Tickets,Pass,Stride,Runtime
101,1,8,2944,128,23
101,2,8,5632,128,20
101,5,1,8746,1024,2
101,4,8,8322,128,53
101,6,2,8234,512,2
101,7,4,8234,256,3
101,8,8,8234,128,5
101,9,16,8234,64,9
101,10,32,8202,32,16
101,11,32,8223,32,16
101,12,32,8223,32,16
101,13,32,8223,32,16
101,14,32,8223,32,16
1209,1,8,2944,128,23
1209,2,8,5632,128,20
1209,5,1,14890,1024,8
1209,4,8,14262,128,135
1209,6,2,14378,512,14
1209,7,4,14378,256,27
1209,8,8,14250,128,52
1209,9,16,14186,64,102
1209,10,32,14154,32,202
1209,11,32,14143,32,201
1209,12,32,14143,32,201
1209,13,32,14143,32,201
1209,14,32,14143,32,201
2423,1,8,2944,128,23
2423,2,8,5632,128,20
2423,5,1,21034,1024,14
2423,4,8,20772,128,223
2423,6,2,21034,512,27
2423,7,4,20778,256,52
2423,8,8,20650,128,102
2423,9,16,20650,64,203
2423,10,32,20650,32,405
2423,11,32,20671,32,405
2423,12,32,20671,32,405
2423,13,32,20671,32,405
2423,14,32,20671,32,405
3572,1,8,2944,128,23
3572,2,8,5632,128,20
3572,5,1,27178,1024,20
3572,4,8,26923,128,306
3572,6,2,27178,512,39
3572,7,4,26922,256,76
3572,8,8,26922,128,151
3572,9,16,26858,64,300
3572,10,32,26826,32,598
3572,11,32,26815,32,597
3572,12,32,26815,32,597
3572,13,32,26815,32,597
3572,14,32,26815,32,597
4747,1,8,2944,128,23
4747,2,8,5632,128,20
4747,5,1,33322,1024,26
4747,4,8,33242,128,391
4747,6,2,33322,512,51
4747,7,4,33322,256,101
4747,8,8,33194,128,200
4747,9,16,33130,64,398
4747,10,32,33130,32,795
4747,11,32,33119,32,794
4747,12,32,33119,32,794
4747,13,32,33119,32,794
4747,14,32,33119,32,794
5888,1,8,2944,128,23
5888,2,8,5632,128,20
5888,5,1,39466,1024,32
5888,4,8,39352,128,473
5888,6,2,39466,512,63
5888,7,4,39466,256,125
5888,8,8,39338,128,248
5888,9,16,39274,64,494
5888,10,32,39242,32,986
5888,11,32,39231,32,985
5888,12,32,39231,32,985
5888,13,32,39231,32,985
5888,14,32,39231,32,985
7099,1,8,2944,128,23
7099,2,8,5632,128,20
7099,5,1,46634,1024,39
7099,4,8,45852,128,561
7099,6,2,46122,512,76
7099,7,4,45866,256,150
7099,8,8,45738,128,298
7099,9,16,45738,64,595
7099,10,32,45738,32,1189
7099,11,32,45727,32,1188
7099,12,32,45727,32,1188
7099,13,32,45727,32,1188
7099,14,32,45727,32,1188
8304,1,8,2944,128,23
8304,2,8,5632,128,20
8304,5,1,52778,1024,45
8304,4,8,52303,128,648
8304,6,2,52266,512,88
8304,7,4,52266,256,175
8304,8,8,52266,128,349
8304,9,16,52202,64,696
8304,10,32,52202,32,1391
8304,11,32,52191,32,1390
8304,12,32,52191,32,1390
8304,13,32,52191,32,1390
8304,14,32,52191,32,1390
9438,1,8,2944,128,23
9438,2,8,5632,128,20
9438,5,1,58922,1024,51
9438,4,8,58393,128,730
9438,6,2,58410,512,100
9438,7,4,58410,256,199
9438,8,8,58282,128,396
9438,9,16,58282,64,791
9438,10,32,58282,32,1581
9438,11,32,58271,32,1580
9438,12,32,58271,32,1580
9438,13,32,58271,32,1580
9438,14,32,58271,32,1580
10643,1,8,2944,128,23
10643,2,8,5632,128,20
10643,5,1,65066,1024,57
10643,4,8,64842,128,817
10643,6,2,65066,512,113
10643,7,4,64810,256,224
10643,8,8,64810,128,447
10643,9,16,64746,64,892
10643,10,32,64714,32,1782
10643,11,32,64735,32,1782
10643,12,32,64735,32,1782
10643,13,32,64735,32,1782
10643,14,32,64735,32,1782
11782,1,8,2944,128,23
11782,2,8,5632,128,20
11782,5,1,71210,1024,63
11782,4,8,70952,128,899
11782,6,2,71210,512,125
11782,7,4,70954,256,248
11782,8,8,70826,128,494
11782,9,16,70826,64,987
11782,10,32,70826,32,1973
11782,11,32,70847,32,1973
11782,12,32,70847,32,1973
11782,13,32,70847,32,1973
11782,14,32,70847,32,1973
12983,1,8,2944,128,23
12983,2,8,5632,128,20
12983,5,1,77354,1024,69
12983,4,8,77403,128,986
12983,6,2,77354,512,137
12983,7,4,77354,256,273
12983,8,8,77354,128,545
12983,9,16,77290,64,1088
12983,10,32,77290,32,2175
12983,11,32,77279,32,2174
12983,12,32,77279,32,2174
12983,13,32,77279,32,2174
12983,14,32,77279,32,2174
14189,1,8,2944,128,23
14189,2,8,5632,128,20
14189,5,1,84522,1024,76
14189,4,8,83852,128,1073
14189,6,2,84010,512,150
14189,7,4,83754,256,298
14189,8,8,83754,128,595
14189,9,16,83754,64,1189
14189,10,32,83754,32,2377
14189,11,32,83743,32,2376
14189,12,32,83743,32,2376
14189,13,32,83743,32,2376
14189,14,32,83743,32,2376
15328,1,8,2944,128,23
15328,2,8,5632,128,20
15328,5,1,90666,1024,82
15328,4,8,89952,128,1155
15328,6,2,90154,512,162
15328,7,4,89898,256,322
15328,8,8,89898,128,643
15328,9,16,89834,64,1284
15328,10,32,89834,32,2567
15328,11,32,89855,32,2567
15328,12,32,89855,32,2567
15328,13,32,89855,32,2567
15328,14,32,89855,32,2567
16528,1,8,2944,128,23
16528,2,8,5632,128,20
16528,5,1,96810,1024,88
16528,4,8,96403,128,1242
16528,6,2,96298,512,174
16528,7,4,96298,256,347
16528,8,8,96298,128,693
16528,9,16,96298,64,1385
16528,10,32,96298,32,2769
16528,11,32,96287,32,2768
16528,12,32,96287,32,2768
16528,13,32,96287,32,2768
16528,14,32,96287,32,2768
17730,1,8,2944,128,23
17730,2,8,5632,128,20
17730,5,1,102954,1024,94
17730,4,8,102842,128,1329
17730,6,2,102954,512,187
17730,7,4,102954,256,373
17730,8,8,102826,128,744
17730,9,16,102762,64,1486
17730,10,32,102730,32,2970
17730,11,32,102719,32,2969
17730,12,32,102719,32,2969
17730,13,32,102719,32,2969
17730,14,32,102719,32,2969
18868,1,8,2944,128,23
18868,2,8,5632,128,20
18868,5,1,109098,1024,100
18868,4,8,108942,128,1411
18868,6,2,109098,512,199
18868,7,4,108842,256,396
18868,8,8,108842,128,791
18868,9,16,108842,64,1581
18868,10,32,108842,32,3161
18868,11,32,108831,32,3160
18868,12,32,108831,32,3160
18868,13,32,108831,32,3160
18868,14,32,108831,32,3160
20075,1,8,2944,128,23
20075,2,8,5632,128,20
20075,5,1,116266,1024,107
20075,4,8,115402,128,1499
20075,6,2,115754,512,212
20075,7,4,115498,256,422
20075,8,8,115370,128,842
20075,9,16,115306,64,1682
20075,10,32,115274,32,3362
20075,11,32,115295,32,3362
20075,12,32,115295,32,3362
20075,13,32,115295,32,3362
20075,14,32,115295,32,3362
21233,1,8,2944,128,23
21233,2,8,5632,128,20
21233,5,1,122410,1024,113
21233,4,8,121628,128,1582
21233,6,2,121898,512,224
21233,7,4,121642,256,446
21233,8,8,121514,128,890
21233,9,16,121514,64,1779
21233,10,32,121514,32,3557
21233,11,32,121503,32,3556
21233,12,32,121503,32,3556
21233,13,32,121503,32,3556
21233,14,32,121503,32,3556
22438,1,8,2944,128,23
22438,2,8,5632,128,20
22438,5,1,128554,1024,119
22438,4,8,128077,128,1669
22438,6,2,128042,512,236
22438,7,4,128042,256,471
22438,8,8,128042,128,941
22438,9,16,127978,64,1880
22438,10,32,127978,32,3759
22438,11,32,127967,32,3758
22438,12,32,127967,32,3758
22438,13,32,127967,32,3758
22438,14,32,127967,32,3758
23704,1,8,2944,128,23
23704,2,8,5632,128,20
23704,5,1,135722,1024,126
23704,4,8,134857,128,1761
23704,6,2,135210,512,250
23704,7,4,134954,256,498
23704,8,8,134826,128,994
23704,9,16,134762,64,1986
23704,10,32,134730,32,3970
23704,11,32,134751,32,3970
23704,12,32,134751,32,3970
23704,13,32,134751,32,3970
23704,14,32,134751,32,3970
23704,15,8,134841,128,0
23704,16,8,134841,128,0
23704,17,8,134841,128,0
23704,18,8,134841,128,0
23704,19,8,134841,128,0
23704,20,8,134841,128,0
24341,1,8,2944,128,23
24341,2,8,5632,128,20
24341,5,1,137770,1024,128
24341,4,8,137217,128,1894
24341,6,2,137258,512,254
24341,7,4,137258,256,507
24341,8,8,137130,128,1012
24341,9,16,137130,64,2023
24341,10,32,137098,32,4044
24341,11,32,137119,32,4044
24341,12,32,137119,32,4044
24341,13,32,137119,32,4044
24341,14,32,137119,32,4044
24341,15,32,137113,32,68
24341,16,32,137113,32,68
24341,17,8,137145,128,18
24341,18,2,137529,512,6
24341,19,8,137145,128,18
24341,20,8,137145,128,18
24958,1,8,2944,128,23
24958,2,8,5632,128,20
